question,correct_document,retrieved_documents,position5,correct_found
Why is the second option for deploying the Omero server preferred for Kubernetes over using docker-compose?,Use case Omero,"Use case Omero, Spuštění aplikace Omero, Hello world tutorial, Welcome to the CERIT-SC Kubernetes Container Platform, Harbor (hub.cerit.io)",1.0,True
What are the prerequisites needed before setting up GitLab runner in a Kubernetes cluster?,GitLab Runner in Kubernetes,"GitLab Runner in Kubernetes, GitLab Kubernetes Agent, Dockerfile, Building Docker containers with Gitlab, Hello world tutorial",1.0,True
How can you verify if your GitLab runner deployment has been successful in the Kubernetes cluster?,GitLab Runner in Kubernetes,"GitLab Runner in Kubernetes, Dockerfile, GitLab Kubernetes Agent, Building Docker containers with Gitlab, Logging",1.0,True
How can you securely store GitLab tokens when setting up a runner in Kubernetes?,GitLab Runner in Kubernetes,"GitLab Runner in Kubernetes, GitLab Kubernetes Agent, Dockerfile, Storing Kubernetes Secrets in Git, Building Docker containers with Gitlab",1.0,True
What steps are involved in preparing the GitLab token for usage in Kubernetes?,GitLab Runner in Kubernetes,"GitLab Runner in Kubernetes, GitLab Kubernetes Agent, Dockerfile, Building Docker containers with Gitlab, GitLab Kubernetes Agent",1.0,True
What is the main difference between GitLab runner and GitLab Kubernetes agent?,GitLab Runner in Kubernetes,"GitLab Runner in Kubernetes, GitLab Kubernetes Agent, GitLab Kubernetes Agent, Dockerfile, Dockerfile",1.0,True
How can you run Docker images from the GitLab Registry if the project's visibility is public?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Dockerfile, Vytváření Docker kontejnerů s GitLab, Harbor (hub.cerit.io), Dockerfile",1.0,True
What happens to the Docker image once the pipeline job succeeds?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Dockerfile, Harbor (hub.cerit.io), Running Nextflow Pipelines in Kubernetes, GitLab Runner in Kubernetes",1.0,True
What are the prerequisites needed to set up a GitLab pipeline for building Docker containers?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Dockerfile, Vytváření Docker kontejnerů s GitLab, GitLab Runner in Kubernetes, GitLab Kubernetes Agent",1.0,True
What changes are needed in the pipeline configuration to upload an image to a custom container registry?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Vytváření Docker kontejnerů s GitLab, Harbor (hub.cerit.io), Dockerfile, Running Nextflow Pipelines in Kubernetes",1.0,True
How can you configure the CI/CD pipeline file in a GitLab repository to build Docker images?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Dockerfile, GitLab Runner in Kubernetes, Vytváření Docker kontejnerů s GitLab, Harbor (hub.cerit.io)",1.0,True
What is the purpose of using the `--chown=user:group` option with the `COPY` command in a Dockerfile?,Dockerfile,"Dockerfile, Limitations of Running Docker Images, Use case Omero, How to Run NGINX Web Server, Omezení spouštění Docker obrazů",1.0,True
What should you do if you want to run a Docker image locally as a specific user?,Dockerfile,"Dockerfile, Limitations of Running Docker Images, Omezení spouštění Docker obrazů, BinderHub, Use case Omero",1.0,True
Why is it recommended to use `&&` instead of `;` when chaining commands in a Dockerfile?,Dockerfile,"Dockerfile, Harbor (hub.cerit.io), Building Docker containers with Gitlab, Vytváření Docker kontejnerů s GitLab, BinderHub",1.0,True
What is the recommended command to combine related operations in a Dockerfile to minimize the number of layers?,Dockerfile,"Harbor (hub.cerit.io), Dockerfile, Running Virtual Machine, BinderHub, Building Docker containers with Gitlab",2.0,True
How can you change the default timezone for a Docker container?,Dockerfile,"Dockerfile, Dockerfile, Building Docker containers with Gitlab, Limitations of Running Docker Images, Omezení spouštění Docker obrazů",1.0,True
How does encrypting the secret's name and namespace enhance security?,Storing Kubernetes Secrets in Git,"Storing Kubernetes Secrets in Git, Ukládání Kubernetes Secrets do Gitu, Storage Secrets, Use case Omero, Jak spustit webový server NGINX",1.0,True
How can you securely store Kubernetes Secrets in a git repository?,Storing Kubernetes Secrets in Git,"Storing Kubernetes Secrets in Git, Exposing Applications, GitLab Runner in Kubernetes, GitLab Kubernetes Agent, BinderHub",1.0,True
What command is used to apply a sealed secret using kubectl?,Storing Kubernetes Secrets in Git,"Storing Kubernetes Secrets in Git, Exposing Applications, Running Virtual Machine, MinIO Operator, Wireguard",1.0,True
How do you transform a Kubernetes secret into a Sealed Secret?,Storing Kubernetes Secrets in Git,"Storing Kubernetes Secrets in Git, Exposing Applications, Jak spustit webový server NGINX, Running Virtual Machine, MinIO Operator",1.0,True
What prerequisites are needed to use kubeseal for storing secrets?,Storing Kubernetes Secrets in Git,"Storing Kubernetes Secrets in Git, Exposing Applications, Running Virtual Machine, Ukládání Kubernetes Secrets do Gitu, Jak spustit webový server NGINX",1.0,True
What should you consider when choosing storage options in JupyterHub?,JupyterHub,"JupyterHub, BinderHub, Available Hardware, Storage, JupyterHub",1.0,True
How does the resource utilization and shutdown mechanism work in JupyterHub?,JupyterHub,"JupyterHub, BinderHub, GPU and other Resources, Projects, Namespaces, and Quotas, RStudio",1.0,True
What types of pre-configured Docker images are available for JupyterHub users?,JupyterHub,"JupyterHub, BinderHub, JupyterHub, Jobs, Dockerfile",1.0,True
What is JupyterHub and what are its ideal use cases?,JupyterHub,"JupyterHub, JupyterHub, BinderHub, RStudio, BinderHub",1.0,True
How can you customize a JupyterLab environment on JupyterHub?,JupyterHub,"JupyterHub, BinderHub, RStudio, JupyterHub, Running Nextflow Pipelines in Kubernetes",1.0,True
How many nodes does the kubh-cluster consist of and where are they located?,Available Hardware,"Available Hardware, Dostupný hardware, Rancher, Contacts, Kubectl",1.0,True
What is the total storage capacity of the primary network storage in the secure cluster?,Available Hardware,"Available Hardware, Storage, Postgres Operator Cloudnative-PG, Tutorial pro Hello World, Postgres Operator Cloudnative-PG",1.0,True
Is the storage in the kubh-cluster backed up?,Available Hardware,"Available Hardware, Postgres Operator Cloudnative-PG, Dostupný hardware, Storage, Use case Omero",1.0,True
What GPUs are featured in the kuba-cluster?,Available Hardware,"Available Hardware, Dostupný hardware, GPU a další zdroje, Spuštění Virtuálního Stroje, Running Virtual Machine",1.0,True
What type of CPU and how much memory is available in the kubas-cluster?,Available Hardware,"Available Hardware, Dostupný hardware, GPU a další zdroje, Žádost o projekt, řízení přístupu, Spuštění Virtuálního Stroje",1.0,True
How can you secure a web-based application exposed with Ingress using user authentication?,Exposing Applications,"Exposing Applications, Security and Network Policy, Jak spustit webový server NGINX, Use case Omero, Personal Monitoring",1.0,True
What are the primary differences between exposing web-based applications and other applications?,Exposing Applications,"Exposing Applications, Vystavování aplikací, Harbor (hub.cerit.io), Welcome to the CERIT-SC Kubernetes Container Platform, Chat AI",1.0,True
What is the recommended method to expose an application within the MUNI network without consuming a public IP?,Exposing Applications,"Samba Server, Exposing Applications, Minio, MinIO Operator, Matlab",2.0,True
What steps should be taken if a TLS certificate is not issued due to resource quotas?,Exposing Applications,"Exposing Applications, Certificate, Vystavování aplikací, Certifikát, Projects, Namespaces, and Quotas",1.0,True
How can you restrict external access to your application using Ingress?,Exposing Applications,"Exposing Applications, Security and Network Policy, Postgres Operator Cloudnative-PG, Jak spustit webový server NGINX, Personal Monitoring",1.0,True
What is the default CPU quota limit for a project in Rancher?,Rancher Applications,"Desktop, Rancher Applications, Matlab, Requesting a Project, Access Control, RStudio",2.0,True
What is the first step mentioned for selecting an application to run in Rancher?,Rancher Applications,"Rancher Applications, Desktop, Minio, ownCloud, ShinySOM",1.0,True
Where can you find the option to limit charts to 'cerit-sc' in Rancher?,Rancher Applications,"Desktop, Rancher Applications, Ansys, Matlab, Personal Monitoring",2.0,True
What should you do if you need more than the default CPU quota?,Rancher Applications,"GPU and other Resources, Ansys, ShinySOM, JupyterHub, Desktop",,False
What might cause the installation of an application to appear as if it failed?,Rancher Applications,"ShinySOM, Desktop, RStudio, Ansys, Matlab",,False
How can users access the new AI assistant available in the documentation?,News,"News icon: Single, Chat AI, Foldify, JupyterHub, Personal Monitoring",,False
What are the three ways the Better Docs AI Assistant can be used?,News,"News icon: Single, Chat AI, Foldify, JupyterHub, RStudio",,False
What new AI chat service has been released and where can more information be found?,News,"News icon: Single, Chat AI, Hello world tutorial, Foldify, JupyterHub",,False
What new feature does Foldify support and what is required to use it?,News,"Foldify, News icon: Single, Hello world tutorial, JupyterHub, Minio",,False
What is the difference between the OpenAI and Local modes in the Better Docs AI Assistant?,News,"News icon: Single, Chat AI, JupyterHub, JupyterHub, Foldify",,False
How can I preserve the home directory when reinstalling the Matlab application?,Matlab,"Matlab, Minio, Ansys, RStudio, ownCloud",1.0,True
How can I mount my MetaCentrum home without a password in Matlab version v9.11.1 and above?,Matlab,"Matlab, RStudio, Ansys, Desktop, Storage Secrets",1.0,True
What should I do if the installation of Matlab seems to fail but actually works after some time?,Matlab,"Matlab, JupyterHub, Matlab, Ansys, ShinySOM",1.0,True
What is the difference between VNC and WEBRTC methods for accessing Matlab in this documentation?,Matlab,"Matlab, Matlab, Desktop, Ansys, Samba Server",1.0,True
How do I delete a running instance of Matlab while preserving the home directory data?,Matlab,"Matlab, Ansys, ShinySOM, Minio, RStudio",1.0,True
What resources are available for deploying pre-built applications on the platform?,Welcome to the CERIT-SC Kubernetes Container Platform,"Welcome to the CERIT-SC Kubernetes Container Platform, Desktop, Scipion, RStudio, Hello world tutorial",1.0,True
How can advanced users develop and deploy custom applications using the platform?,Welcome to the CERIT-SC Kubernetes Container Platform,"Welcome to the CERIT-SC Kubernetes Container Platform, Exposing Applications, Moodle, Desktop, Operator Summary",1.0,True
How can users access the CERIT-SC Kubernetes Container Platform?,Welcome to the CERIT-SC Kubernetes Container Platform,"Welcome to the CERIT-SC Kubernetes Container Platform, How to get Access, Contacts, GitLab Runner in Kubernetes, Harbor (hub.cerit.io)",1.0,True
What types of networking capabilities does the platform offer?,Welcome to the CERIT-SC Kubernetes Container Platform,"Exposing Applications, MinIO Operator, Hello world tutorial, Welcome to the CERIT-SC Kubernetes Container Platform, MinIO Operator",4.0,True
What are the main architectural features of the CERIT-SC Kubernetes Container Platform?,Welcome to the CERIT-SC Kubernetes Container Platform,"Welcome to the CERIT-SC Kubernetes Container Platform, Contacts, Storage, Available Hardware, Harbor (hub.cerit.io)",1.0,True
How can you delete a running instance of the ownCloud application while ensuring data is retained?,ownCloud,"ownCloud, Scipion, ownCloud, ShinySOM, Ansys",1.0,True
What is a necessary prerequisite for the ownCloud client to sync data with a pod?,ownCloud,"ownCloud, ownCloud, Spark Operator, Minio, Storage",1.0,True
How can you check if a remote file system is connected in the terminal area?,ownCloud,"Ansys, Samba Server, Desktop, ownCloud, Scipion",4.0,True
What steps should be followed to select and install the ownCloud application from the App & Marketplace?,ownCloud,"ownCloud, ownCloud, Scipion, Minio, ShinySOM",1.0,True
How do you log into the Rancher platform to run the ownCloud client application?,ownCloud,"ownCloud, Desktop, Storage Secrets, Running Virtual Machine, Scipion",1.0,True
Where can a user change their password for their Metacentrum account?,How to get Access,"How to get Access, Matlab, Storage Secrets, Desktop, RStudio",1.0,True
How can a user apply for the first time to access the CERIT-SC services?,How to get Access,"How to get Access, Desktop, Harbor (hub.cerit.io), Contacts, Matlab",1.0,True
What happens if a user does not prolong their account by the 2nd of February?,How to get Access,"How to get Access, JupyterHub, ShinySOM, Projects, Namespaces, and Quotas, FAQ",1.0,True
What is the required acknowledgement formula for publications using MetaCentrum resources?,How to get Access,"How to get Access, News icon: Single, Jak získat přístup, Matlab, Matlab",1.0,True
What are the eligibility criteria for using the CERIT-SC Kubernetes platform and Rancher UI?,How to get Access,"How to get Access, Welcome to the CERIT-SC Kubernetes Container Platform, Rancher, Security Context, Desktop",1.0,True
What is TESK and where can I find more information about it?,TES/WES,"TES/WES, TES/WES, Bezpečnost a síťová politika, ownCloud, Úložiště",1.0,True
What is the relationship between TESK and WES?,TES/WES,"TES/WES, TES/WES, Přehled Operátorů, Vystavování aplikací, Tutorial pro Hello World",1.0,True
Where can I access the TESK Czech endpoint?,TES/WES,"TES/WES, TES/WES, Vystavování aplikací, Tutorial pro Hello World, Certifikát",1.0,True
What is the purpose of the WES microservice?,TES/WES,"TES/WES, TES/WES, Hello world tutorial, Rancher, Welcome to the CERIT-SC Kubernetes Container Platform",1.0,True
Where can I find the WES Czech endpoint documentation?,TES/WES,"TES/WES, TES/WES, Certifikát, Vystavování aplikací, Postgres Operator Cloudnative-PG",1.0,True
How can you log into Harbor using the command line?,Harbor (hub.cerit.io),"Harbor (hub.cerit.io), Dockerfile, Building Docker containers with Gitlab, Use case Omero, Storage",1.0,True
What precautions should be taken regarding sensitive information in Docker images on Harbor?,Harbor (hub.cerit.io),"Harbor (hub.cerit.io), Dockerfile, How to Run NGINX Web Server, Harbor (hub.cerit.io), Building Docker containers with Gitlab",1.0,True
What steps should be taken to manage and free up space in a Harbor repository?,Harbor (hub.cerit.io),"Harbor (hub.cerit.io), Harbor (hub.cerit.io), Scipion, JupyterHub, Running Virtual Machine",1.0,True
What is the main advantage of using Harbor over hub.docker.com?,Harbor (hub.cerit.io),"Harbor (hub.cerit.io), Harbor (hub.cerit.io), JupyterHub, Přehled platformy kontejnerů, Welcome to the CERIT-SC Kubernetes Container Platform",1.0,True
How can an administrator facilitate collaboration for a group of users on Harbor?,Harbor (hub.cerit.io),"Harbor (hub.cerit.io), Requesting a Project, Access Control, Harbor (hub.cerit.io), JupyterHub, Dockerfile",1.0,True
How can you change the permissions of the `$HOME/.kube/config` file?,Kubectl,"Kubectl, GitLab Kubernetes Agent, Running Virtual Machine, Limitations of Running Docker Images, MinIO Operator",1.0,True
Where can the `kube config` file be found?,Kubectl,"Kubectl, GitLab Kubernetes Agent, Running Virtual Machine, Hello world tutorial, JupyterHub",1.0,True
What is required to use Kubectl after installation?,Kubectl,"Kubectl, Wireguard, Exposing Applications, GitLab Runner in Kubernetes, Hello world tutorial",1.0,True
Is it possible to have multiple cluster configurations in one config file?,Kubectl,"Kubectl, Jobs, Rancher, Postgres Operator Cloudnative-PG, Postgres Operator Cloudnative-PG",1.0,True
What should you do if the `$HOME/.kube/config` file does not exist?,Kubectl,"Kubectl, Running Virtual Machine, Hello world tutorial, JupyterHub, GitLab Kubernetes Agent",1.0,True
How can you ensure that installed packages persist across container restarts?,Running Virtual Machine,"Running Virtual Machine, Hello world tutorial, Dockerfile, Projects, Namespaces, and Quotas, Limitations of Running Docker Images",1.0,True
Which Docker images are available for use in creating a virtual machine-like environment?,Running Virtual Machine,"Welcome to the CERIT-SC Kubernetes Container Platform, Jobs, Dockerfile, BinderHub, Running Virtual Machine",5.0,True
How do you generate an SSH key on Linux or MacOS for the virtual machine setup?,Running Virtual Machine,"Running Virtual Machine, JupyterHub, MPI Operator, MinIO Operator, MinIO Operator",1.0,True
What steps are required to enable GPU support in a containerized environment?,Running Virtual Machine,"Running Nextflow Pipelines in Kubernetes, Running Virtual Machine, FAQ, Jobs, GPU and other Resources",2.0,True
What is the purpose of creating a `secret` with a public SSH key in this process?,Running Virtual Machine,"Running Virtual Machine, Exposing Applications, Use case Omero, Storing Kubernetes Secrets in Git, JupyterHub",1.0,True
What command can I use to check tunnel stats on a Linux-based OS after activating a VPN tunnel?,VPN,"VPN, Personal Monitoring, Wireguard, Ansys, Desktop",1.0,True
What is an example of a configuration file for connecting to Secure VPN on Windows?,VPN,"VPN, VPN, MinIO Operator, Hello world tutorial, Exposing Applications",1.0,True
How can I install WireGuard on a Windows system to connect to Secure VPN?,VPN,"VPN, VPN, Wireguard, Personal Monitoring, Ansys",1.0,True
How do I activate a VPN tunnel on a Linux-based OS using WireGuard?,VPN,"VPN, VPN, Wireguard, Personal Monitoring, Jak spustit webový server NGINX",1.0,True
Where should I store the configuration file on a Windows computer for Secure VPN?,VPN,"VPN, VPN, ShinySOM, MinIO Operator, Running Virtual Machine",1.0,True
"How can ephemeral storage be allocated in Kubernetes, and what happens to its content if a pod is evicted or moved?",Storage,"Storage, Projects, Namespaces, and Quotas, Úložiště, Running Virtual Machine, Hello world tutorial",1.0,True
"What is the process for creating a PVC with CIFS storage, and what information is needed?",Storage,"Storage, Hello world tutorial, Samba Server, Úložiště, Tutorial pro Hello World",1.0,True
What are the three important Kubernetes objects related to storage mentioned in the text?,Storage,"Storage, MinIO Operator, Jobs, Úložiště, Hello world tutorial",1.0,True
How can a user create an ad-hoc Persistent Volume Claim (PVC) using the provided template?,Storage,"Hello world tutorial, How to Run NGINX Web Server, Storage, Samba Server, MinIO Operator",3.0,True
"What storage classes are offered by the Kubernetes orchestrator, and what are their characteristics?",Storage,"Storage, Úložiště, Jobs, MinIO Operator, Available Hardware",1.0,True
What are some tasks that operators can automate?,Operator Summary,"Operator Summary, Přehled Operátorů, Spark Operator, MinIO Operator, Foldify",1.0,True
Where can users find various Operators to meet their needs?,Operator Summary,"Operator Summary, Přehled Operátorů, MinIO Operator, Welcome to the CERIT-SC Kubernetes Container Platform, Spark Operator",1.0,True
How can a user get an Operator set up in the cluster?,Operator Summary,"Operator Summary, Spark Operator, Spark Operator, MinIO Operator, Přehled Operátorů",1.0,True
Why is deploying your own Operator in a namespaced manner discouraged?,Operator Summary,"Operator Summary, Namespaces, Projects, Namespaces, and Quotas, Namespaces, Spark Operator",1.0,True
What is the purpose of the Operator pattern in Kubernetes?,Operator Summary,"Operator Summary, Spark Operator, MinIO Operator, MinIO Operator, Spark Operator",1.0,True
What is the purpose of the MinIO Operator in a Kubernetes environment?,MinIO Operator,"MinIO Operator, MinIO Operator, Spark Operator, Operator Summary, MPI Operator",1.0,True
How can I deploy a single instance of MinIO Tenant using the provided YAML configuration?,MinIO Operator,"MinIO Operator, MinIO Operator, Minio, Use case Omero, Exposing Applications",1.0,True
What is the role of a NetworkPolicy in securing access to the MinIO S3 storage?,MinIO Operator,"MinIO Operator, MinIO Operator, Minio, Postgres Operator Cloudnative-PG, Exposing Applications",1.0,True
How can I access the MinIO storage from other Pods within the Kubernetes cluster?,MinIO Operator,"MinIO Operator, MinIO Operator, Storage, Postgres Operator Cloudnative-PG, Running Nextflow Pipelines in Kubernetes",1.0,True
What are the steps to create and deploy a secret for MinIO Tenant users?,MinIO Operator,"MinIO Operator, MinIO Operator, Storage Secrets, Minio, Exposing Applications",1.0,True
How can a user create additional namespaces in Rancher GUI?,Namespaces,"Namespaces, Projects, Namespaces, and Quotas, Rancher, Namespaces, Desktop",1.0,True
How can a user check their namespaces in the Rancher site?,Namespaces,"Namespaces, Rancher, Desktop, Projects, Namespaces, and Quotas, Namespaces",1.0,True
What is the purpose of namespaces in Kubernetes?,Namespaces,"Namespaces, Namespaces, Projects, Namespaces, and Quotas, Hello world tutorial, Rancher",1.0,True
Why is it not recommended to create namespaces using kubectl in Rancher?,Namespaces,"Projects, Namespaces, and Quotas, Rancher, Namespaces, Scipion, Namespaces",3.0,True
What happens when a user logs into the Ranger GUI for the first time?,Namespaces,"ShinySOM, Moodle, RStudio, Running Virtual Machine, Personal Monitoring",,False
What changes are being made to the security policy management in Kubernetes version 1.25?,Security Context,"Security Context, Hello world tutorial, FAQ, Wireguard, Certificate",1.0,True
How should users specify security options for a Pod in their deployment manifest?,Security Context,"Security Context, MinIO Operator, FAQ, MinIO Operator, Hello world tutorial",1.0,True
Why is it strongly recommended to add `fsGroupChangePolicy: OnRootMismatch` for Pods?,Security Context,"Security Context, MinIO Operator, FAQ, Hello world tutorial, MinIO Operator",1.0,True
What are the important new options for the Pod security context that users need to include?,Security Context,"Security Context, MinIO Operator, MinIO Operator, FAQ, Hello world tutorial",1.0,True
What are the key differences between PSP and PSA in terms of security policy application?,Security Context,"Security Context, Bezpečnostní Kontext, MinIO Operator, MinIO Operator, Minio",1.0,True
What steps should I follow to log into a running Moodle instance?,Moodle,"Moodle, phpMyAdmin, RStudio, ShinySOM, Moodle",1.0,True
What customization options are available when setting up the Moodle application?,Moodle,"Moodle, Moodle, phpMyAdmin, NBGrader Docs, NBGrader Docs",1.0,True
How can I delete a running Moodle application instance and what happens to the data in the home directory?,Moodle,"Moodle, ShinySOM, Ansys, ownCloud, Matlab",1.0,True
How do I configure an external database for Moodle instead of using the internal MariaDB?,Moodle,"Moodle, phpMyAdmin, Moodle, phpMyAdmin, Use case Omero",1.0,True
How can I install the Moodle web application using Rancher?,Moodle,"Moodle, Moodle, ShinySOM, RStudio, phpMyAdmin",1.0,True
What is the purpose of using WireGuard in this setup?,Wireguard,"VPN, Wireguard, VPN, Tutorial pro Hello World, Ansys",2.0,True
What are the limitations mentioned in the current implementation of WireGuard with Kubernetes?,Wireguard,"Wireguard, Exposing Applications, Jobs, MinIO Operator, Limitations of Running Docker Images",1.0,True
What is the correct command to create a secret for the WireGuard configuration?,Wireguard,"Wireguard, VPN, Use case Omero, Exposing Applications, Running Virtual Machine",1.0,True
How can you verify that the WireGuard interface is correctly set up on the Pod?,Wireguard,"Wireguard, FAQ, VPN, Security Context, MinIO Operator",1.0,True
How can a WireGuard interface be attached to a Pod?,Wireguard,"Wireguard, Security Context, FAQ, MinIO Operator, MinIO Operator",1.0,True
What steps should you follow to select a version of the Scipion application in Rancher?,Scipion,"Scipion, Desktop, Rancher Applications, Ansys, ownCloud",1.0,True
How can you increase the CPU quota if the default limits do not meet your needs?,Scipion,"Projects, Namespaces, and Quotas, GPU and other Resources, Running Nextflow Pipelines in Kubernetes, Desktop, ShinySOM",,False
What is the purpose of the Onedata mounts in the Scipion application?,Scipion,"Scipion, Scipion, Hello world tutorial, Tutorial pro Hello World, ownCloud",1.0,True
How is data synchronization managed between Onedata spaces and Kubernetes volumes in the Scipion application?,Scipion,"Scipion, Scipion, Storage, Use case Omero, Running Nextflow Pipelines in Kubernetes",1.0,True
What should you do if the Scipion application installation appears to fail but you didn't select 'Customize Helm options before install'?,Scipion,"Scipion, FAQ, Ansys, Scipion, Rancher Applications",1.0,True
What is the purpose of using the `letsencrypt-prod-dns` issuer?,Certificate,"Certificate, Certifikát, Exposing Applications, Jak spustit webový server NGINX, Vystavování aplikací",1.0,True
What is the difference between the `letsencrypt-prod` and `letsencrypt-prod-dns` issuers?,Certificate,"Certificate, Certifikát, Jak spustit webový server NGINX, Exposing Applications, Vystavování aplikací",1.0,True
What protocol does Kubernetes use to issue and manage custom trusted certificates?,Certificate,"Certificate, Vystavování aplikací, Exposing Applications, How to Run NGINX Web Server, Security and Network Policy",1.0,True
What is contained in the secret generated by the certificate configuration?,Certificate,"Certificate, Running Virtual Machine, Storing Kubernetes Secrets in Git, Certifikát, Spark Operator",1.0,True
Which issuer should be used for testing web-based applications?,Certificate,"Exposing Applications, Certifikát, Vystavování aplikací, Certificate, Chat AI",4.0,True
